customer_id,event_date,amount,event_type
9919-YLNNG,2022-06-21,103.8,balance_check
0318-ZOPWS,2021-11-23,20.15,balance_check
4445-ZJNMU,2025-03-07,99.3,transaction
4808-YNLEU,2023-01-17,62.15,bill_pay
1862-QRWPE,2021-12-23,20.65,balance_check
2796-NNUFI,2022-02-21,19.95,mobile_deposit
3016-KSVCP,2023-07-16,33.75,support_contact
4767-HZZHQ,2023-06-16,82.05,transaction
2424-WVHPL,2025-11-02,74.7,transaction
7233-PAHHL,2020-07-01,84.0,bill_pay
6067-NGCEU,2020-07-31,111.05,transaction
9848-JQJTX,2020-01-03,100.9,transaction
8637-XJIVR,2024-12-07,78.95,balance_check
9803-FTJCG,2020-02-02,66.85,bill_pay
0278-YXOOG,2025-07-05,21.05,balance_check
3212-KXOCR,2021-08-25,21.0,support_contact
4598-XLKNJ,2023-11-13,98.5,support_contact
6380-ARCEH,2025-11-02,20.2,balance_check
3679-XASPY,2025-11-02,19.45,support_contact
7123-WQUHX,2022-10-19,95.0,bill_pay
5386-THSLQ,2020-07-01,45.55,login
3192-NQECA,2020-05-02,110.0,balance_check
6180-YBIQI,2025-07-05,24.3,mobile_deposit
6728-DKUCO,2020-01-03,104.15,mobile_deposit
9750-BOOHV,2023-04-17,30.15,transaction
8597-CWYHH,2022-05-22,94.35,support_contact
2848-YXSMW,2020-01-03,19.4,mobile_deposit
0486-HECZI,2021-05-27,96.75,transaction
4549-ZDQYY,2021-08-25,57.95,login
5712-AHQNN,2022-05-22,91.65,bill_pay
4846-WHAFZ,2022-11-18,76.5,bill_pay
5256-SKJGO,2020-08-30,54.6,bill_pay
3071-VBYPO,2025-09-03,89.85,mobile_deposit
9560-BBZXK,2022-12-18,31.05,login
5299-RULOA,2025-02-05,100.25,mobile_deposit
8402-OOOHJ,2022-07-21,20.65,support_contact
9445-ZUEQE,2023-09-14,85.2,mobile_deposit
1091-SOZGA,2021-04-27,99.8,login
2928-HLDBA,2025-06-05,20.7,login
0404-SWRVG,2025-09-03,74.4,support_contact
6497-TILVL,2025-05-06,50.7,login
7219-TLZHO,2025-08-04,20.85,login
4622-YNKIJ,2023-03-18,88.95,bill_pay
4412-YLTKF,2023-09-14,78.05,support_contact
6734-PSBAW,2020-01-03,23.55,transfer
3930-ZGWVE,2025-11-02,19.75,transfer
2639-UGMAZ,2020-02-02,56.45,login
2876-GZYZC,2024-11-07,85.95,transfer
6207-WIOLX,2023-11-13,58.6,transfer
8587-XYZSF,2020-06-01,50.55,login
3091-FYHKI,2025-11-02,35.45,transfer
2372-HWUHI,2025-10-03,44.35,mobile_deposit
7799-LGRDP,2022-05-22,25.7,transaction
7850-VWJUU,2024-01-12,75.0,support_contact
3774-VBNXY,2020-08-30,20.2,transaction
6217-KDYWC,2021-03-28,19.6,login
0390-DCFDQ,2025-11-02,70.45,bill_pay
3146-MSEGF,2020-01-03,88.05,support_contact
4080-OGPJL,2025-04-06,71.15,login
1095-WGNGG,2020-11-28,101.05,bill_pay
2636-SJDOU,2020-08-30,84.3,transaction
1131-QQZEB,2020-02-02,23.95,login
5716-EZXZN,2020-07-31,99.05,support_contact
6837-BJYDQ,2025-09-03,19.6,support_contact
2135-RXIHG,2025-11-02,45.65,balance_check
6440-DKQGE,2023-06-16,64.5,mobile_deposit
3466-BYAVD,2024-09-08,69.5,transfer
3780-YVMFA,2025-04-06,68.55,bill_pay
3874-EQOEP,2025-05-06,95.0,balance_check
1679-JRFBR,2020-03-03,108.15,transfer
9073-ZZIAY,2020-10-29,86.1,transfer
3077-RSNTJ,2025-06-05,19.7,login
6551-GNYDG,2024-10-08,80.9,transfer
9167-APMXZ,2024-02-11,84.15,mobile_deposit
2749-CTKAJ,2024-02-11,20.15,support_contact
6371-NZYEG,2024-08-09,64.25,balance_check
7554-NEWDD,2025-02-05,25.7,transfer
8992-VONJD,2024-11-07,56.0,login
0867-MKZVY,2024-04-11,82.4,mobile_deposit
4482-EWFMI,2025-10-03,69.7,transaction
4648-YPBTM,2021-07-26,73.9,support_contact
2907-ILJBN,2025-01-06,20.6,support_contact
6345-FZOQH,2020-04-02,19.9,balance_check
3376-BMGFE,2025-08-04,70.9,support_contact
5997-OPVFA,2020-01-03,89.05,transfer
3445-HXXGF,2021-02-26,45.3,login
1159-WFSGR,2024-08-09,20.4,support_contact
7654-YWJUF,2022-05-22,84.25,support_contact
1875-QIVME,2025-10-03,104.4,transaction
6727-IOTLZ,2024-10-08,81.95,transaction
0691-JVSYA,2021-07-26,94.85,bill_pay
5918-VUKWP,2023-04-17,20.55,mobile_deposit
1744-JHKYS,2023-02-16,24.7,transfer
2656-FMOKZ,2024-09-08,74.45,support_contact
2070-FNEXE,2025-05-06,76.45,support_contact
5947-SGKCL,2024-09-08,105.35,login
3712-PKXZA,2020-11-28,20.55,bill_pay
6317-YPKDH,2025-11-02,29.95,mobile_deposit
6582-OIVSP,2025-11-02,45.3,bill_pay
9367-WXLCH,2025-04-06,84.5,balance_check
5524-KHNJP,2023-03-18,74.75,mobile_deposit
1918-ZBFQJ,2024-11-07,79.25,support_contact
1024-GUALD,2025-11-02,24.8,support_contact
4827-USJHP,2024-04-11,51.8,mobile_deposit
8167-GJLRN,2025-09-03,30.4,support_contact
0956-SYCWG,2024-11-07,19.65,transfer
8017-UVSZU,2022-08-20,56.6,mobile_deposit
7100-FQPRV,2022-05-22,71.9,bill_pay
2472-OVKUP,2025-06-05,91.0,mobile_deposit
2984-RGEYA,2020-04-02,19.75,support_contact
9680-NIAUV,2020-01-03,109.7,transfer
2146-EGVDT,2021-01-27,19.3,transfer
2604-IJPDU,2024-04-11,96.55,balance_check
9178-JHUVJ,2023-12-13,24.1,bill_pay
6168-YBYNP,2021-01-27,111.35,transaction
7255-SSFBC,2020-01-03,112.25,transaction
3645-DEYGF,2025-11-02,20.75,mobile_deposit
9323-HGFWY,2023-09-14,101.9,balance_check
8544-GOQSH,2024-10-08,80.05,login
3363-DTIVD,2020-02-02,105.55,mobile_deposit
7018-WBJNK,2024-11-07,78.3,balance_check
9142-KZXOP,2022-04-22,68.85,bill_pay
7674-YTAFD,2023-03-18,79.95,bill_pay
6348-SNFUS,2020-01-03,55.45,bill_pay
1285-OKIPP,2025-11-02,79.9,bill_pay
7825-ECJRF,2024-05-11,106.6,bill_pay
1347-KTTTA,2020-08-30,102.45,balance_check
7841-TZDMQ,2025-10-03,46.0,balance_check
4195-NZGTA,2025-11-02,25.25,transfer
7157-SMCFK,2020-11-28,19.75,transaction
4709-LKHYG,2023-07-16,20.0,support_contact
2504-DSHIH,2024-01-12,86.8,bill_pay
0699-NDKJM,2021-03-28,58.75,login
9286-BHDQG,2020-01-03,45.25,support_contact
0230-WEQUW,2020-07-01,56.6,balance_check
2040-LDIWQ,2020-07-31,84.2,login
6496-JDSSB,2025-04-06,80.0,login
9408-SSNVZ,2025-08-04,70.15,login
4443-EMBNA,2020-02-02,24.75,transfer
6469-MRVET,2025-11-02,20.2,balance_check
0742-MOABM,2025-08-04,50.05,login
5961-VUSRV,2024-12-07,19.35,bill_pay
6778-JFCMK,2023-12-13,50.6,mobile_deposit
6341-JVQGF,2023-05-17,81.15,login
2232-DMLXU,2025-11-02,55.2,transfer
4811-JBUVU,2023-06-16,89.9,support_contact
0945-TSONX,2022-01-22,85.3,balance_check
2651-ZCBXV,2021-06-26,108.0,transfer
3316-UWXUY,2021-10-24,93.5,login
8937-RDTHP,2025-11-02,84.6,balance_check
7083-MIOPC,2020-01-03,20.25,mobile_deposit
1984-GPTEH,2023-07-16,25.15,login
1251-KRREG,2025-10-03,54.4,transfer
0621-JFHOL,2025-02-05,29.6,transaction
9903-LYSAB,2024-06-10,73.15,bill_pay
0094-OIFMO,2025-01-06,95.0,support_contact
9227-UAQFT,2024-08-09,19.75,transfer
7301-ABVAD,2020-01-03,86.6,balance_check
6614-FHDBO,2020-01-03,109.2,login
7576-ASEJU,2022-07-21,74.7,bill_pay
9058-HRZSV,2020-07-31,94.4,login
4522-AKYLR,2024-11-07,54.8,balance_check
0221-WMXNQ,2025-08-04,75.35,login
0303-UNCIP,2022-07-21,65.0,transaction
9947-OTFQU,2024-09-08,74.4,bill_pay
0322-YINQP,2025-11-02,48.55,bill_pay
0959-WHOKV,2022-06-21,99.0,balance_check
4075-JFPGR,2021-09-24,93.5,support_contact
4629-NRXKX,2025-10-03,70.4,transaction
9514-JDSKI,2025-11-02,40.2,transfer
3282-ZISZV,2023-04-17,83.7,login
3675-YDUPJ,2025-02-05,19.85,mobile_deposit
4111-BNXIF,2020-06-01,59.55,login
7017-VFHAY,2020-11-28,115.1,login
6655-LHBYW,2021-10-24,114.35,transfer
4959-JOSRX,2025-10-03,44.6,login
5046-NUHWD,2023-07-16,45.0,transaction
7273-TEFQD,2025-09-03,41.15,transaction
3606-TWKGI,2024-11-07,106.9,bill_pay
7529-ZDFXI,2021-03-28,89.85,balance_check
7605-BDWDC,2023-05-17,49.85,support_contact
1950-KSVVJ,2022-03-23,113.3,mobile_deposit
0123-CRBRT,2020-11-28,88.1,login
6292-TOSSS,2021-10-24,24.9,login
3197-ARFOY,2024-05-11,105.0,transfer
6323-AYBRX,2021-01-27,19.35,balance_check
7014-ZZXAW,2020-02-02,24.25,transaction
4385-GZQXV,2024-08-09,94.45,mobile_deposit
7633-MVPUY,2021-03-28,59.75,bill_pay
6366-ZGQGL,2025-11-02,24.8,transaction
4716-HHKQH,2024-04-11,107.05,balance_check
5940-AHUHD,2025-11-02,70.6,support_contact
6432-TWQLB,2025-07-05,85.4,bill_pay
4484-GLZOU,2021-08-25,105.05,support_contact
3179-GBRWV,2024-03-12,64.95,transfer
8645-KWHJO,2024-10-08,55.0,transfer
4130-MZLCC,2025-07-05,50.55,login
0314-TKOSI,2025-06-05,55.15,support_contact
8229-MYEJZ,2025-02-05,51.2,balance_check
2080-SRCDE,2025-11-02,25.4,mobile_deposit
9577-WJVCQ,2020-05-02,54.45,bill_pay
9512-UIBFX,2024-06-10,95.15,transaction
6202-DYYFX,2024-02-11,76.0,balance_check
3808-HFKDE,2024-04-11,44.35,balance_check
5583-SXDAG,2025-11-02,70.0,transfer
3488-PGMQJ,2025-04-06,74.5,support_contact
3580-REOAC,2025-02-05,44.85,login
7534-BFESC,2023-12-13,76.1,login
3727-OWVYD,2023-01-17,61.2,bill_pay
2294-SALNE,2024-01-12,86.8,transfer
4847-TAJYI,2025-06-05,89.35,balance_check
1563-IWQEX,2024-12-07,19.7,mobile_deposit
8203-XJZRC,2025-11-02,20.25,transfer
6556-DBKZF,2020-02-02,76.05,bill_pay
6851-WEFYX,2023-01-17,100.8,bill_pay
2985-JUUBZ,2022-08-20,74.55,transfer
6390-DSAZX,2025-11-02,73.6,bill_pay
0895-LMRSF,2024-01-12,64.9,transfer
8098-LLAZX,2025-08-04,95.45,transaction
8266-VBFQL,2025-08-04,90.4,transfer
8181-YHCMF,2020-05-02,60.3,support_contact
2240-HSJQD,2022-10-19,81.85,transfer
1248-DYXUB,2021-08-25,24.8,bill_pay
0265-EDXBD,2023-04-17,74.9,support_contact
4115-BNPJY,2023-07-16,75.55,bill_pay
3167-SNQPL,2022-10-19,101.15,login
4091-TVOCN,2021-12-23,78.75,login
1098-TDVUQ,2025-11-02,19.25,support_contact
7277-OZCGZ,2024-02-11,89.05,transaction
1557-EMYVT,2022-05-22,115.05,login
2799-ARNLO,2025-07-05,69.35,transfer
7563-BIUPC,2025-07-05,80.6,bill_pay
5027-YOCXN,2021-09-24,110.05,login
3973-SKMLN,2020-02-02,19.9,login
2321-OMBXY,2022-10-19,80.3,transaction
2840-XANRC,2023-12-13,93.15,support_contact
6745-JEFZB,2023-01-17,91.5,support_contact
5020-ZSTTY,2021-06-26,82.45,balance_check
9880-TDQAC,2020-01-03,60.0,transaction
8705-WZCYL,2025-11-02,44.8,transfer
7102-JJVTX,2025-03-07,48.6,support_contact
8626-PTQGE,2020-04-02,60.05,bill_pay
4983-CLMLV,2021-08-25,102.7,transaction
5701-YVSVF,2025-01-06,82.9,login
5804-LEPIM,2025-10-03,70.35,bill_pay
5697-GOMBF,2023-08-15,35.9,bill_pay
2739-CACDQ,2024-07-10,82.65,login
9385-EHGDO,2023-01-17,19.85,transaction
9498-FIMXL,2025-04-06,19.2,login
2379-GYFLQ,2022-02-21,94.9,balance_check
0122-OAHPZ,2025-05-06,73.85,bill_pay
2868-SNELZ,2025-10-03,80.6,mobile_deposit
4322-RCYMT,2020-05-02,75.8,mobile_deposit
6680-NENYN,2022-05-22,104.6,transfer
2088-IEBAU,2020-05-02,88.15,support_contact
7982-VCELR,2022-12-18,94.8,login
1343-EHPYB,2020-09-29,103.4,login
6035-BXTTY,2023-04-17,54.65,transfer
6885-PKOAM,2020-02-02,85.75,transfer
7520-HQWJU,2020-07-01,67.45,transfer
9639-BUJXT,2020-09-29,20.5,bill_pay
5924-SNGKP,2022-07-21,20.25,balance_check
0021-IKXGC,2025-11-02,72.1,login
2034-GDRCN,2025-10-03,90.4,bill_pay
8966-SNIZF,2020-03-03,19.45,transfer
6243-OZGFH,2024-01-12,44.95,login
4654-DLAMQ,2020-08-30,97.0,bill_pay
0513-RBGPE,2022-11-18,62.8,balance_check
5160-UXJED,2024-07-10,44.6,bill_pay
4115-NZRKS,2025-05-06,89.15,balance_check
0219-YTZUE,2025-08-04,84.8,transfer
0623-IIHUG,2024-03-12,41.9,balance_check
4572-DVCGN,2025-02-05,80.25,login
3351-NGXYI,2024-08-09,54.1,transfer
8984-EYLLL,2020-08-30,105.25,login
9057-MSWCO,2023-09-14,30.75,mobile_deposit
9833-TGFHX,2022-06-21,97.1,transaction
9294-TDIPC,2025-07-05,20.2,balance_check
5229-DTFYB,2022-07-21,98.8,transaction
0104-PPXDV,2021-02-26,50.3,transaction
5176-LMJXE,2022-01-22,20.55,balance_check
3583-KRKMD,2024-06-10,75.9,transfer
1010-DIAUQ,2025-07-05,96.5,mobile_deposit
9069-LGEUL,2024-01-12,59.95,login
7302-ZHMHP,2025-11-02,19.15,bill_pay
9571-EDEBV,2020-02-02,98.65,login
3520-FJGCV,2020-01-03,112.6,bill_pay
6563-VRERX,2023-03-18,20.6,login
0259-GBZSH,2025-10-03,85.65,balance_check
6122-EFVKN,2023-12-13,35.75,mobile_deposit
2805-EDJPQ,2021-04-27,99.75,bill_pay
6862-CQUMB,2022-11-18,96.1,support_contact
7156-MXBJE,2022-05-22,85.1,transfer
6158-HDPXZ,2025-11-02,25.35,login
9601-BRXPO,2023-11-13,104.95,login
2863-IMQDR,2020-11-28,89.65,bill_pay
5686-CMAWK,2024-07-10,86.75,transfer
5651-CRHKQ,2022-07-21,86.2,transfer
6905-NIQIN,2025-11-02,50.65,balance_check
8204-YJCLA,2020-01-03,64.8,support_contact
5167-ZFFMM,2025-11-02,90.85,balance_check
6583-SZVGP,2021-12-23,108.1,balance_check
4895-TMWIR,2025-01-06,19.95,balance_check
0533-BNWKF,2021-05-27,85.45,balance_check
1708-PBBOA,2022-06-21,54.75,balance_check
8782-LKFPK,2022-04-22,90.4,mobile_deposit
5522-JBWMO,2025-11-02,44.0,transfer
3597-MVHJT,2023-09-14,95.6,balance_check
9774-NRNAU,2023-09-14,84.8,transfer
0224-RLWWD,2025-10-03,44.3,transfer
9967-ATRFS,2024-05-11,19.9,transaction
3951-NJCVI,2022-06-21,95.05,mobile_deposit
2977-CEBSX,2020-07-01,90.05,balance_check
0177-PXBAT,2023-03-18,109.9,login
6599-CEBNN,2023-02-16,73.95,bill_pay
2519-ERQOJ,2023-03-18,54.6,support_contact
5876-QMYLD,2024-01-12,20.05,login
2277-AXSDC,2023-04-17,19.75,mobile_deposit
9442-JTWDL,2025-01-06,20.05,bill_pay
0979-PHULV,2020-04-02,99.45,mobile_deposit
3067-SVMTC,2020-05-02,55.9,transfer
5495-GPSRW,2024-04-11,19.7,bill_pay
7606-BPHHN,2020-01-03,19.8,transfer
4742-DRORA,2020-12-28,95.4,login
0111-KLBQG,2023-04-17,93.95,login
4800-VHZKI,2025-11-02,19.9,bill_pay
7989-CHGTL,2025-11-02,19.6,bill_pay
0334-GDDSO,2025-09-03,81.35,balance_check
4163-NCJAK,2022-02-21,24.45,mobile_deposit
5233-AOZUF,2023-07-16,74.95,balance_check
5973-EJGDP,2021-09-24,87.35,mobile_deposit
1996-DBMUS,2021-12-23,70.65,balance_check
7916-VCCPB,2024-08-09,73.25,transfer
4686-GEFRM,2020-03-03,98.7,bill_pay
5249-QYHEX,2022-08-20,24.8,login
0578-SKVMF,2024-02-11,83.3,mobile_deposit
5564-NEMQO,2025-11-02,75.3,mobile_deposit
2233-FAGXV,2025-07-05,24.3,login
5605-IYGFG,2025-05-06,69.85,balance_check
7663-ZTEGJ,2023-07-16,100.55,mobile_deposit
3935-TBRZZ,2022-04-22,25.7,support_contact
8111-BKVDS,2025-02-05,40.7,transfer
2055-SIFSS,2021-05-27,51.65,bill_pay
2806-MLNTI,2021-08-25,105.1,login
8734-DKSTZ,2025-02-05,85.95,bill_pay
4360-PNRQB,2024-06-10,75.6,support_contact
6152-ONASV,2020-05-02,58.25,mobile_deposit
9063-ZGTUY,2020-11-28,19.4,mobile_deposit
7781-HVGMK,2020-01-03,65.2,support_contact
2181-UAESM,2025-10-03,53.45,login
2957-LOLHO,2024-12-07,45.4,transfer
6048-NJXHX,2022-07-21,19.75,transaction
2320-SLKMB,2023-10-14,44.45,login
4980-URKXC,2022-12-18,20.85,transaction
4376-KFVRS,2020-01-03,114.05,support_contact
5886-VLQVU,2023-01-17,89.85,balance_check
3577-AMVUX,2025-11-02,55.05,transaction
0771-WLCLA,2024-08-09,112.95,transfer
5628-RKIFK,2021-11-23,101.55,balance_check
0206-TBWLC,2021-06-26,114.65,transaction
2937-FTHUR,2024-06-10,64.8,support_contact
1910-FMXJM,2022-12-18,80.4,balance_check
7752-XUSCI,2020-12-28,105.9,support_contact
4110-PFEUZ,2025-11-02,69.55,transaction
0732-OCQOC,2021-08-25,25.05,support_contact
5168-MSWXT,2025-04-06,94.75,transfer
1090-ESELR,2020-01-03,105.5,transaction
8592-PLTMQ,2020-08-30,24.7,transaction
5760-WRAHC,2024-02-11,69.75,transaction
8847-GEOOQ,2020-12-28,60.2,login
0256-LTHVJ,2023-08-15,81.05,login
4785-FCIFB,2020-11-28,24.4,login
8313-NDOIA,2023-12-13,104.15,transfer
5149-CUZUJ,2023-08-15,92.9,balance_check
0942-KOWSM,2023-06-16,80.8,support_contact
4237-CLSMM,2025-10-03,20.0,mobile_deposit
1452-VOQCH,2025-11-02,75.1,transaction
4719-UMSIY,2025-06-05,19.65,support_contact
6614-VBEGU,2023-12-13,69.45,transaction
0880-TKATG,2025-08-04,101.15,transfer
3811-VBYBZ,2025-05-06,99.8,transaction
1480-BKXGA,2020-01-03,116.05,login
2996-XAUVF,2020-03-03,40.05,mobile_deposit
9076-AXYIK,2020-08-30,102.1,bill_pay
5968-XQIVE,2020-01-03,89.7,transaction
8896-RAZCR,2022-04-22,19.9,support_contact
4640-UHDOS,2024-11-07,55.95,login
4933-IKULF,2024-07-10,20.65,bill_pay
3583-EKAPL,2025-11-02,55.0,mobile_deposit
1304-BCCFO,2025-03-07,70.05,bill_pay
4104-PVRPS,2023-12-13,53.6,login
9399-APLBT,2025-11-02,74.7,balance_check
2359-KMGLI,2023-12-13,80.25,balance_check
3780-DDGSE,2023-01-17,76.05,bill_pay
4431-EDMIQ,2025-05-06,75.7,transfer
0306-JAELE,2025-07-05,96.1,support_contact
6227-HWPWX,2024-09-08,69.0,support_contact
0486-LGCCH,2025-01-06,19.65,bill_pay
0447-BEMNG,2021-12-23,45.3,transaction
4612-SSVHJ,2024-04-11,81.45,transaction
5168-MQQCA,2020-01-03,108.5,support_contact
5949-XIKAE,2025-04-06,83.55,support_contact
7971-HLVXI,2020-01-03,84.5,balance_check
9094-AZPHK,2024-09-08,100.15,transfer
3649-JPUGY,2020-01-03,88.6,login
4472-LVYGI,2025-12-02,52.55,transaction
8372-JUXUI,2025-11-02,74.35,support_contact
3552-CTCYF,2020-09-29,104.8,balance_check
6778-YSNIH,2025-10-03,59.0,mobile_deposit
0388-EOPEX,2025-10-03,74.4,balance_check
5756-OZRIO,2020-11-28,64.05,transaction
6579-JPICP,2025-11-02,20.4,transaction
8205-OTCHB,2024-02-11,43.75,balance_check
4134-BSXLX,2023-08-15,60.9,login
0505-SPOOW,2020-03-03,19.8,bill_pay
6235-VDHOM,2025-07-05,28.45,transaction
7783-YKGDV,2024-12-07,99.7,balance_check
4374-YMUSQ,2023-02-16,116.25,support_contact
4513-CXYIX,2020-02-02,80.7,balance_check
3957-HHLMR,2020-03-03,65.2,transfer
7803-XOCCZ,2021-08-25,84.05,bill_pay
5736-YEJAX,2020-04-02,79.45,mobile_deposit
5609-CEBID,2024-04-11,94.1,login
8981-FJGLA,2025-01-06,78.0,mobile_deposit
7218-HKQFK,2025-10-03,94.2,bill_pay
4636-QRJKY,2025-06-05,80.5,bill_pay
1135-LMECX,2025-11-02,19.85,bill_pay
4332-MUOEZ,2024-04-11,94.3,mobile_deposit
8535-SFUTN,2020-11-28,106.45,support_contact
5956-VKDTT,2025-07-05,74.35,bill_pay
8677-HDZEE,2021-04-27,105.45,balance_check
2475-MROZF,2023-06-16,95.0,mobile_deposit
9412-GHEEC,2022-08-20,104.8,bill_pay
3482-ABPKK,2023-08-15,54.3,balance_check
6705-LXORM,2025-07-05,70.05,support_contact
0257-ZESQC,2023-09-14,75.2,transfer
7531-GQHME,2024-12-07,20.05,support_contact
5174-ITUMV,2020-06-01,105.4,bill_pay
4109-CYRBD,2023-07-16,51.6,mobile_deposit
0913-XWSCN,2021-05-27,85.5,transaction
6825-UYPFK,2024-01-12,75.6,bill_pay
8397-MVTAZ,2023-02-16,100.05,transaction
0750-EBAIU,2021-08-25,91.25,balance_check
8606-CIQUL,2020-01-03,115.75,transfer
3571-DPYUH,2021-02-26,94.7,login
7601-GNDYK,2023-01-17,19.6,support_contact
0356-OBMAC,2021-04-27,99.9,transfer
8067-NIOYM,2023-12-13,21.1,bill_pay
1403-GYAFU,2020-03-03,20.05,transaction
4234-XTNEA,2025-10-03,79.95,support_contact
1297-VQDRP,2020-05-02,107.15,transaction
9282-IZGQK,2025-11-02,85.0,mobile_deposit
5348-CAGXB,2024-12-07,89.55,transaction
0621-HJWXJ,2020-09-29,81.55,mobile_deposit
5844-QVTAT,2023-03-18,58.45,balance_check
8905-IAZPF,2020-04-02,95.65,support_contact
5394-MEITZ,2020-12-28,80.6,support_contact
6859-QNXIQ,2020-01-03,113.1,login
2782-LFZVW,2025-01-06,58.95,bill_pay
2866-IKBTM,2025-11-02,19.55,mobile_deposit
1342-JPNKI,2025-02-05,86.05,login
2817-NTQDO,2024-11-07,45.55,transaction
7129-AZJDE,2023-02-16,78.95,transaction
6986-IJDHX,2022-09-19,86.3,login
2560-PPCHE,2020-07-31,105.05,support_contact
4676-MQUEA,2021-10-24,101.9,transaction
8138-EALND,2024-09-08,19.75,balance_check
3580-HYCSP,2020-01-03,110.3,balance_check
1352-HNSAW,2020-01-03,115.6,login
2075-PUEPR,2021-05-27,19.35,mobile_deposit
1982-FEBTD,2024-01-12,25.6,mobile_deposit
5301-GAUUY,2023-04-17,80.35,login
5791-KAJFD,2021-04-27,68.75,mobile_deposit
2654-VBVPB,2025-11-02,19.9,support_contact
1154-HYWWO,2022-10-19,70.6,support_contact
2501-XWWTZ,2025-01-06,70.2,mobile_deposit
3716-UVSPD,2025-11-02,49.3,balance_check
6815-ABQFQ,2021-04-27,107.25,mobile_deposit
